e,n,d
300.0,300.0,319
300.0,300.0,320
300.0,300.0,321
300.0,300.0,322
300.0,300.0,323
300.0,300.0,324
300.0,300.0,325
300.0,300.0,326
300.0,300.0,327
300.0,300.0,328
300.0,300.0,329
300.0,300.0,330
300.0,300.0,331
300.0,300.0,332
300.0,300.0,333
300.0,300.0,334
300.0,300.0,335
300.0,300.0,336
300.0,300.0,337
300.0,300.0,338
300.0,300.0,339
300.0,300.0,340
300.0,300.0,341
300.0,300.0,342
300.0,300.0,343
300.0,300.0,344
300.0,300.0,345
300.0,300.0,346
300.0,300.0,347
300.0,300.0,348
300.0,300.0,349
300.0,300.0,350
300.0,300.0,351
300.0,300.0,352
300.0,300.0,353
300.0,300.0,354
300.0,300.0,355
300.0,300.0,356
300.0,300.0,357
300.0,300.0,358
300.0,300.0,359
300.0,300.0,360
300.0,300.0,361
300.0,300.0,362
300.0,300.0,363
300.0,300.0,364
300.0,300.0,365
300.0,300.0,366
300.0,300.0,367
300.0,300.0,368
300.0,300.0,369
300.0,300.0,370
300.0,300.0,371
300.0,300.0,372
300.0,300.0,373
300.0,300.0,374
300.0,300.0,375
300.0,300.0,376
300.0,300.0,377
300.0,300.0,378
300.0,300.0,379
300.0,300.0,380
300.0,300.0,381
300.0,300.0,382
300.0,300.0,383
300.0,300.0,384
300.0,300.0,385
300.0,300.0,386
300.0,300.0,387
300.0,300.0,388
300.0,300.0,389
300.0,300.0,390
300.0,300.0,391
300.0,300.0,392
300.0,300.0,393
300.0,300.0,394
300.0,300.0,395
300.0,300.0,396
300.0,300.0,397
300.0,300.0,398
300.0,300.0,399
300.0,300.0,400
300.0,300.0,401
300.0,300.0,402
300.0,300.0,403
300.0,300.0,404
300.0,300.0,405
300.0,300.0,406
300.0,300.0,407
300.0,300.0,408
300.0,300.0,409
300.0,300.0,410
300.0,300.0,411
300.0,300.0,412
300.0,300.0,413
300.0,300.0,414
300.0,300.0,415
300.0,300.0,416
300.0,300.0,417
300.0,300.0,418
300.0,300.0,419
300.0,300.0,420
300.0,300.0,421
300.0,300.0,422
300.0,300.0,423
300.0,300.0,424
300.0,300.0,425
300.0,300.0,426
300.0,300.0,427
300.0,300.0,428
